empreendimento;Ano;produto;id_produto;safra;uf;municipio;cod_ibge;unidade_comercializacao;vlr_custo_variavel_ha;vlr_custo_variavel_unidade;vlr_custo_fixo_ha;vlr_custo_fixo_unidade;vlr_renda_fator_ha;vlr_renda_fator_unidade
AGRICULTURA EMPRESARIAL                 ;2018;ARROZ                                   ;4686;TODAS                                   ;MA;BALSAS-MA                                         ;2101400;60 kg   ;1441.85;36.03;418.98;10.47;318.61;7.96
AGRICULTURA EMPRESARIAL                 ;2018;ARROZ                                   ;4685;TODAS                                   ;MT;SORRISO-MT                                        ;5107925;60 kg   ;2211.92;36.86;477.26;7.97;472.98;7.88
AGRICULTURA EMPRESARIAL                 ;2018;ARROZ                                   ;4685;TODAS                                   ;RR;BOA VISTA-RR                                      ;1400100;60 kg   ;4488.58;33.67;373.66;2.8;256.22;1.93
AGRICULTURA EMPRESARIAL                 ;2018;ARROZ                                   ;11159;TODAS                                   ;RS;CACHOEIRA DO SUL-RS                               ;4303004;50 kg   ;5289.25;36.78;674.95;4.7;794.72;5.52
AGRICULTURA EMPRESARIAL                 ;2018;ARROZ                                   ;11159;TODAS                                   ;RS;PELOTAS-RS                                        ;4314407;50 kg   ;5573.07;35.48;441.2;2.82;563.16;3.59
AGRICULTURA EMPRESARIAL                 ;2018;ARROZ                                   ;11159;TODAS                                   ;RS;SANTO ANTÔNIO DA PATRULHA-RS                      ;4317608;50 kg   ;5023.88;36.43;603.15;4.37;715.45;5.18
AGRICULTURA EMPRESARIAL                 ;2018;ARROZ                                   ;11159;TODAS                                   ;RS;URUGUAIANA-RS                                     ;4322400;50 kg   ;5452.58;34.13;425.82;2.66;768.38;4.8
AGRICULTURA EMPRESARIAL                 ;2018;ARROZ                                   ;4686;TODAS                                   ;MA;BALSAS-MA                                         ;2101400;60 kg   ;1461.96;36.54;418.98;10.47;332.59;8.32
AGRICULTURA EMPRESARIAL                 ;2018;ARROZ                                   ;4685;TODAS                                   ;MT;SORRISO-MT                                        ;5107925;60 kg   ;2250.63;37.51;481.2;8.03;493.73;8.23
AGRICULTURA EMPRESARIAL                 ;2018;ARROZ                                   ;4685;TODAS                                   ;RR;BOA VISTA-RR                                      ;1400100;60 kg   ;4497.68;33.745;373.66;2.8;267.46;2.01
